Provider,UplFile5,DownlFile5,Provider,UplFile50,DownlFile50,
StorJ,9.485092,2.121660,StorJ,68.683397,9.711665,
DropBox,3.760584,1.236215,DropBox,21.335770,4.894113,
GoogleDrive,3.397184,1.451768,GoogleDrive,22.028373,6.181268,
OneDrive,2.815228,1.674287,OneDrive,28.579576,5.304634,
StorJ,9.675873,1.941980,StorJ,69.116611,11.122493,
DropBox,4.548299,1.070021,DropBox,21.434535,4.731211,
GoogleDrive,3.273309,1.946352,GoogleDrive,21.122917,6.531194,
OneDrive,4.122852,1.776018,OneDrive,22.888382,5.855294,
StorJ,10.395213,2.131169,StorJ,69.463621,9.582630,
DropBox,4.485938,1.010244,DropBox,20.878825,5.449950,
GoogleDrive,3.033816,1.198254,GoogleDrive,21.197889,5.945954,
OneDrive,4.025969,1.970029,OneDrive,24.391456,6.157845,
StorJ,10.100832,2.136614,StorJ,67.906262,12.273577,
DropBox,4.596947,1.075214,DropBox,20.754573,5.057036,
GoogleDrive,3.316055,5.350682,GoogleDrive,21.867679,6.176778,
OneDrive,4.265770,1.666989,OneDrive,30.662950,5.542281,
StorJ,10.246982,1.773165,StorJ,68.395340,13.312844,
DropBox,4.152560,1.048488,DropBox,20.760048,4.853968,
GoogleDrive,3.657870,1.971595,GoogleDrive,21.527380,5.540656,
OneDrive,2.838960,2.113894,OneDrive,29.365841,5.746301,
StorJ,9.359341,1.979890,StorJ,68.170240,14.821220,
DropBox,4.717435,1.072609,DropBox,22.479017,5.271311,
GoogleDrive,3.587498,2.511855,GoogleDrive,21.166960,5.453103,
OneDrive,3.965696,1.385000,OneDrive,26.819485,5.566782,
StorJ,9.949258,2.670949,StorJ,70.453148,11.351083,
DropBox,4.624622,1.155358,DropBox,21.309664,5.281336,
GoogleDrive,4.172022,2.676744,GoogleDrive,21.144430,6.855536,
OneDrive,4.046786,1.684341,OneDrive,23.225453,5.389673,
StorJ,9.955084,1.765947,StorJ,71.133813,17.371937,
DropBox,4.168956,0.915199,DropBox,21.184491,4.783529,
GoogleDrive,3.960863,1.144599,GoogleDrive,21.621416,5.703969,
OneDrive,6.809529,1.632606,OneDrive,23.155992,5.800295,
StorJ,9.239987,2.050771,StorJ,71.997981,12.832204,
DropBox,4.901967,1.326208,DropBox,21.259950,5.420996,
GoogleDrive,3.660231,0.985589,GoogleDrive,21.508178,6.126255,
OneDrive,3.659061,1.692865,OneDrive,22.868430,5.788602,
StorJ,9.548085,3.403784,StorJ,70.497409,14.171456,
DropBox,4.276639,1.081060,DropBox,21.002785,5.251030,
GoogleDrive,3.299072,2.061717,GoogleDrive,21.980316,5.639534,
OneDrive,4.452724,1.874469,OneDrive,28.495647,6.299503,
