Provider,UplFile5,DownlFile5,Provider,UplFile50,DownlFile50,
StorJ,9.079847,1.565176,StorJ,70.633087,11.395425,
DropBox,3.914864,1.075421,DropBox,21.052456,5.305737,
GoogleDrive,3.283502,0.977499,GoogleDrive,21.142559,6.103871,
OneDrive,3.414657,1.807153,OneDrive,28.256807,5.431494,
StorJ,9.906519,2.971226,StorJ,66.776593,8.279002,
DropBox,4.692313,0.960890,DropBox,21.134573,5.506039,
GoogleDrive,3.818323,1.915814,GoogleDrive,21.055848,5.215088,
OneDrive,6.872128,4.384045,OneDrive,31.430821,5.960405,
StorJ,9.115163,1.609262,StorJ,68.543482,13.971011,
DropBox,4.838836,1.138848,DropBox,21.933160,5.264967,
GoogleDrive,3.200538,1.240397,GoogleDrive,21.476986,5.402180,
OneDrive,3.362639,2.062976,OneDrive,24.685179,5.313480,
StorJ,9.080394,1.799268,StorJ,71.145267,13.281905,
DropBox,4.711993,1.006823,DropBox,21.096041,5.063821,
GoogleDrive,3.306233,4.238248,GoogleDrive,21.781148,5.299521,
OneDrive,3.247496,1.844332,OneDrive,27.956090,6.719091,
StorJ,9.284214,1.551671,StorJ,68.403200,9.667152,
DropBox,4.759893,1.560716,DropBox,21.287284,5.399282,
GoogleDrive,3.448053,1.157076,GoogleDrive,21.457689,4.966857,
OneDrive,6.277626,1.632412,OneDrive,30.553529,5.493916,
StorJ,8.689535,1.813285,StorJ,70.335322,9.811420,
DropBox,4.327151,1.148546,DropBox,19.892579,5.079728,
GoogleDrive,3.595806,0.990343,GoogleDrive,21.058245,5.579834,
OneDrive,11.226542,1.626381,OneDrive,39.719664,5.585435,
StorJ,9.329505,1.425180,StorJ,92.757087,7.036686,
DropBox,4.428807,0.956866,DropBox,20.605962,5.451438,
GoogleDrive,3.202651,1.081749,GoogleDrive,21.519497,5.112346,
OneDrive,2.816071,1.470310,OneDrive,35.211674,5.309168,
StorJ,8.838175,1.482656,StorJ,68.532454,9.053271,
DropBox,4.344070,1.046920,DropBox,21.310310,5.355873,
GoogleDrive,3.373122,0.933646,GoogleDrive,21.004733,5.131193,
OneDrive,3.129918,2.011860,OneDrive,30.234106,5.293953,
StorJ,9.415658,1.555983,StorJ,69.032574,8.307708,
DropBox,3.942008,1.054420,DropBox,21.014631,4.664068,
GoogleDrive,6.730584,0.972893,GoogleDrive,21.027059,4.932368,
OneDrive,6.145963,1.757633,OneDrive,29.462856,5.954501,
StorJ,8.879399,1.629019,StorJ,68.558108,10.226092,
DropBox,3.860449,1.202010,DropBox,22.257701,5.158264,
GoogleDrive,3.860743,0.977657,GoogleDrive,21.138688,5.565291,
OneDrive,5.022110,1.478741,OneDrive,30.484801,5.451640,
