Provider,UplFile5,DownlFile5,Provider,UplFile50,DownlFile50,
StorJ,10.026818,2.302452,StorJ,74.729750,14.340705,
DropBox,6.436882,1.807816,DropBox,32.468511,9.829735,
GoogleDrive,3.563608,2.440489,GoogleDrive,23.577818,11.105353,
OneDrive,6.688877,2.471374,OneDrive,37.891613,13.995598,
StorJ,9.398077,1.857584,StorJ,69.268458,14.222476,
DropBox,5.360274,1.596569,DropBox,28.799605,8.528280,
GoogleDrive,3.657977,1.269893,GoogleDrive,20.837530,6.604713,
OneDrive,3.498284,1.910282,OneDrive,30.509732,6.665932,
StorJ,10.616695,1.891790,StorJ,70.220356,16.159659,
DropBox,4.349661,1.448856,DropBox,26.927387,8.274431,
GoogleDrive,3.242884,1.224469,GoogleDrive,21.118040,10.066274,
OneDrive,3.954912,1.858944,OneDrive,30.620797,9.928135,
StorJ,9.201549,2.134777,StorJ,73.262182,10.676795,
DropBox,5.066562,1.535926,DropBox,22.365896,7.787374,
GoogleDrive,3.403874,2.380572,GoogleDrive,22.215593,8.637678,
OneDrive,3.397048,2.948993,OneDrive,31.488635,8.780187,
StorJ,9.123952,1.602855,StorJ,69.226911,7.304096,
DropBox,3.879576,1.688926,DropBox,23.671971,5.442734,
GoogleDrive,4.676953,1.011356,GoogleDrive,26.574391,8.084365,
OneDrive,3.428624,1.867041,OneDrive,25.422088,7.221144,
StorJ,10.985447,1.695866,StorJ,69.796369,11.755935,
DropBox,5.558644,1.339520,DropBox,26.971963,7.387931,
GoogleDrive,3.724156,2.039450,GoogleDrive,21.203203,9.344251,
OneDrive,6.477737,2.224321,OneDrive,29.695441,7.759692,
StorJ,9.393135,1.882726,StorJ,67.597450,9.472257,
DropBox,5.539977,1.338902,DropBox,27.079805,5.216099,
GoogleDrive,3.768217,1.270157,GoogleDrive,21.901103,5.261292,
OneDrive,3.590859,1.768709,OneDrive,25.592484,5.904690,
StorJ,8.988616,1.376964,StorJ,65.947472,10.760831,
DropBox,4.643302,1.037742,DropBox,21.426148,4.893639,
GoogleDrive,3.353713,2.083457,GoogleDrive,21.908774,5.199491,
OneDrive,3.614323,1.636020,OneDrive,32.845880,5.803814,
StorJ,10.408415,1.640943,StorJ,69.664393,9.506517,
DropBox,4.050076,1.013192,DropBox,21.005398,5.101290,
GoogleDrive,3.704162,1.068898,GoogleDrive,21.507455,6.174549,
OneDrive,4.029217,1.727329,OneDrive,29.605756,5.630659,
StorJ,9.113314,1.444128,StorJ,67.810544,8.368958,
DropBox,5.273714,1.226708,DropBox,27.895398,5.403997,
GoogleDrive,3.285568,1.920225,GoogleDrive,21.152163,5.866559,
OneDrive,4.773815,1.779045,OneDrive,33.591845,5.330020,
