Provider,UplFile5,DownlFile5,Provider,UplFile50,DownlFile50,
StorJ,11.595199,2.821477,StorJ,69.298648,9.337351,
DropBox,4.383881,1.119606,DropBox,21.027835,5.339127,
GoogleDrive,3.270012,1.168000,GoogleDrive,21.762617,6.326969,
OneDrive,5.613432,1.786511,OneDrive,26.749424,5.522122,
StorJ,10.808714,2.072310,StorJ,68.470870,8.029941,
DropBox,4.772799,2.023707,DropBox,21.799464,4.787624,
GoogleDrive,3.332345,2.227937,GoogleDrive,20.943878,5.332441,
OneDrive,3.696992,1.765951,OneDrive,29.432379,5.628540,
StorJ,9.391444,1.336652,StorJ,67.133091,8.874042,
DropBox,4.559296,1.150947,DropBox,21.151762,4.713799,
GoogleDrive,3.830243,10.155227,GoogleDrive,21.056863,5.794465,
OneDrive,3.657226,2.464342,OneDrive,33.769602,6.132151,
StorJ,9.088642,1.941942,StorJ,68.359250,7.850811,
DropBox,4.332249,1.172288,DropBox,21.363207,5.551193,
GoogleDrive,4.290574,2.514453,GoogleDrive,20.982959,5.915969,
OneDrive,6.303787,1.547120,OneDrive,24.495699,5.914252,
StorJ,8.978757,1.552040,StorJ,69.132689,6.915351,
DropBox,5.110047,1.217164,DropBox,21.134197,5.074762,
GoogleDrive,4.089256,1.383653,GoogleDrive,21.328417,6.306889,
OneDrive,6.287920,1.769051,OneDrive,27.441581,5.806073,
StorJ,9.028641,2.303530,StorJ,68.954801,11.069356,
DropBox,4.427450,1.998387,DropBox,20.623717,5.625129,
GoogleDrive,3.230435,1.169100,GoogleDrive,20.948482,5.777018,
OneDrive,5.445941,2.034884,OneDrive,30.612535,5.726853,
StorJ,10.065166,1.723024,StorJ,68.408371,8.666594,
DropBox,5.097358,1.160623,DropBox,20.824057,6.131145,
GoogleDrive,3.352448,1.814078,GoogleDrive,20.733791,5.648281,
OneDrive,3.881756,1.721548,OneDrive,27.285013,5.298274,
StorJ,9.284807,1.717148,StorJ,67.385177,8.471576,
DropBox,4.115024,1.150553,DropBox,21.450382,5.907660,
GoogleDrive,3.870387,1.835037,GoogleDrive,21.149108,5.335834,
OneDrive,3.691041,2.738195,OneDrive,23.253258,5.694386,
StorJ,9.014087,1.795658,StorJ,65.883082,7.149056,
DropBox,4.615278,1.283218,DropBox,22.244796,5.846747,
GoogleDrive,3.934619,0.974109,GoogleDrive,21.111345,6.628741,
OneDrive,6.341934,2.350844,OneDrive,25.768065,5.516363,
StorJ,8.743612,1.557251,StorJ,66.927246,10.518491,
DropBox,3.929350,1.066269,DropBox,20.303439,6.814654,
GoogleDrive,3.891867,8.007521,GoogleDrive,20.970300,5.559250,
OneDrive,4.717668,1.708104,OneDrive,27.258327,6.250076,
