Provider,UplFile5,DownlFile5,Provider,UplFile50,DownlFile50,
StorJ,8.871202,2.712616,StorJ,68.273820,19.861946,
DropBox,4.337830,2.094515,DropBox,21.235421,15.531616,
GoogleDrive,3.339619,2.049710,GoogleDrive,22.886125,15.573521,
OneDrive,10.642270,2.944299,OneDrive,32.046534,12.853124,
StorJ,9.906865,3.185474,StorJ,67.799053,18.031236,
DropBox,4.252447,1.886417,DropBox,21.873679,12.392452,
GoogleDrive,3.677152,2.335574,GoogleDrive,21.337063,15.383877,
OneDrive,6.686706,2.722953,OneDrive,27.302121,12.421493,
StorJ,9.286942,2.267703,StorJ,69.033591,18.415972,
DropBox,4.617937,1.994879,DropBox,20.831801,12.266689,
GoogleDrive,3.958436,3.144643,GoogleDrive,21.754219,15.050432,
OneDrive,3.544281,2.329737,OneDrive,23.885141,12.510308,
StorJ,8.817053,2.533111,StorJ,66.847396,17.980380,
DropBox,3.948265,1.572944,DropBox,21.482061,12.410621,
GoogleDrive,3.992422,1.867844,GoogleDrive,22.121171,14.935401,
OneDrive,4.414312,2.748171,OneDrive,21.916423,12.974525,
StorJ,9.089611,2.819157,StorJ,69.512790,18.819309,
DropBox,5.165752,1.712297,DropBox,21.068119,12.143102,
GoogleDrive,3.307754,2.058876,GoogleDrive,21.250740,14.746706,
OneDrive,3.238524,2.136624,OneDrive,26.658887,26.656929,
StorJ,9.061473,2.275146,StorJ,68.596958,19.195617,
DropBox,4.555402,1.597054,DropBox,20.567304,12.356505,
GoogleDrive,3.705931,2.138441,GoogleDrive,21.025453,15.107809,
OneDrive,9.148286,2.440089,OneDrive,26.443179,12.663583,
StorJ,8.794222,2.331734,StorJ,69.430242,18.258677,
DropBox,3.995881,1.596833,DropBox,20.747512,12.378410,
GoogleDrive,3.906246,1.992802,GoogleDrive,21.354108,14.805567,
OneDrive,3.837783,2.506168,OneDrive,29.998823,12.428734,
StorJ,9.429813,2.597799,StorJ,68.901014,19.487055,
DropBox,3.557756,1.856116,DropBox,21.175113,12.673140,
GoogleDrive,3.570085,1.907614,GoogleDrive,20.692874,14.068022,
OneDrive,4.318130,1.993624,OneDrive,27.444079,12.770983,
StorJ,9.388483,2.976199,StorJ,68.693825,21.761785,
DropBox,4.433033,2.149145,DropBox,20.913884,12.453364,
GoogleDrive,4.003438,2.492675,GoogleDrive,21.380720,14.488892,
OneDrive,4.013377,2.176734,OneDrive,23.191534,12.476285,
StorJ,9.419494,2.337415,StorJ,71.030800,18.674774,
DropBox,4.345200,1.658323,DropBox,21.425995,11.958231,
GoogleDrive,3.901662,1.929565,GoogleDrive,20.986789,14.801657,
OneDrive,3.070361,2.971456,OneDrive,26.412581,12.646771,
