Provider,UplFile5,DownlFile5,Provider,UplFile50,DownlFile50,
StorJ,9.859476,1.611455,StorJ,66.973947,11.649828,
DropBox,11.034245,1.173540,DropBox,22.977086,5.310984,
GoogleDrive,3.476710,1.969677,GoogleDrive,21.483516,6.510589,
OneDrive,7.346805,1.654028,OneDrive,29.784760,5.535985,
StorJ,10.059644,1.773754,StorJ,74.128963,11.464528,
DropBox,3.987098,1.013718,DropBox,21.029534,5.659569,
GoogleDrive,3.818824,1.327146,GoogleDrive,21.665982,7.466925,
OneDrive,9.300775,1.789840,OneDrive,27.488079,5.757624,
StorJ,8.900277,1.540360,StorJ,67.335985,6.825147,
DropBox,4.309841,0.986196,DropBox,21.567074,5.348080,
GoogleDrive,3.471845,1.995946,GoogleDrive,21.918130,7.216112,
OneDrive,3.975946,1.622349,OneDrive,21.333107,6.811217,
StorJ,9.584756,1.502911,StorJ,68.250835,6.748197,
DropBox,16.726229,2.781886,DropBox,70.992755,7.550570,
GoogleDrive,3.513455,1.212010,GoogleDrive,21.187237,6.300647,
OneDrive,3.751589,1.681692,OneDrive,38.636342,6.860085,
StorJ,10.033587,1.671160,StorJ,71.152206,7.379460,
DropBox,20.955054,2.347523,DropBox,85.336651,6.760589,
GoogleDrive,3.944392,7.725893,GoogleDrive,21.723150,6.011746,
OneDrive,4.298625,1.856194,OneDrive,25.265876,6.099687,
StorJ,9.603369,2.643709,StorJ,66.755103,8.112079,
DropBox,4.863483,1.033895,DropBox,20.876947,5.395933,
GoogleDrive,3.339459,2.214442,GoogleDrive,21.280683,5.936719,
OneDrive,4.255334,3.797766,OneDrive,29.362747,6.046029,
StorJ,8.869783,1.380643,StorJ,67.659256,7.187583,
DropBox,14.263304,2.458344,DropBox,21.124885,5.202323,
GoogleDrive,3.745067,2.158780,GoogleDrive,21.233226,6.159991,
OneDrive,3.960169,1.621411,OneDrive,26.562390,5.727382,
StorJ,10.058744,1.706758,StorJ,69.435729,12.531822,
DropBox,18.887271,2.274355,DropBox,73.613791,7.965054,
GoogleDrive,3.748382,1.101500,GoogleDrive,21.324009,5.715823,
OneDrive,6.034727,2.108220,OneDrive,23.505277,6.048113,
StorJ,9.328125,1.809244,StorJ,67.416439,9.660960,
DropBox,4.527960,1.278101,DropBox,22.248377,5.479623,
GoogleDrive,3.653766,2.543287,GoogleDrive,21.514255,5.628990,
OneDrive,3.844569,1.724538,OneDrive,32.292982,5.937965,
StorJ,9.552614,1.634763,StorJ,67.503589,7.732712,
DropBox,15.105797,2.381907,DropBox,77.082776,7.340009,
GoogleDrive,3.405943,13.045615,GoogleDrive,21.474128,6.346992,
OneDrive,6.916147,1.790822,OneDrive,25.545973,7.179540,
